"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"BB-017","Bảng rổ mini Spalding Slam Jam Over-The-Door Mini Hoop","","","","pending",""
"BB-018","Bóng rổ Wilson NBA Authentic Indoor/Outdoor","","","","pending",""
"BB-019","Ống tay bóng rổ McDavid Hex Shooter Arm Sleeve","","","","pending",""
"BB-020","Tất bóng rổ Nike Elite Crew","","","","pending",""
"BB-021","Áo bóng rổ Jordan Sport Dri-FIT Sleeveless Top","","","","pending",""
"BB-022","Balo bóng rổ Nike Hoops Elite Backpack","","","","pending",""
"BM-002","Vợt cầu lông Yonex Astrox 88 Play","","","","pending",""
"BM-003","Vợt cầu lông Yonex Arcsaber 11 Play","","","","pending",""
"BM-004","Vợt cầu lông Yonex Nanoflare 1000 Play","","","","pending",""
"BM-005","Vợt cầu lông Yonex Nanoflare 1000 Game","","","","pending",""
