"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"VB-016","Bảo vệ gối bóng chuyền Nike Streak Volleyball Knee Pads","","","","pending",""
"VB-017","Áo thi đấu bóng chuyền adidas Tabela 23 Jersey","","","","pending",""
"VB-018","Áo bóng chuyền Puma teamLIGA Jersey","","","","pending",""
"VB-019","Bảo vệ gối bóng chuyền McDavid Hex Knee Pads","","","","pending",""
"VB-020","Bóng chuyền mini Mikasa VQ2000","","","","pending",""
"VB-021","Giày bóng chuyền adidas Court Team Bounce 2.0","","","","pending",""
"BB-003","Bóng rổ Spalding React TF-250","","","","pending",""
"BB-004","Bóng rổ Spalding Excel TF-500","","","","pending",""
"BB-005","Bóng rổ Molten BG3800","","","","pending",""
"BB-006","Bóng rổ Molten BG4500","","","","pending",""
