"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"BM-006","Vợt cầu lông Li-Ning Windstorm 72","","","","pending",""
"BM-007","Vợt cầu lông Li-Ning Halbertec 2000","","","","pending",""
"BM-008","Vợt cầu lông Victor Thruster K 12 M","","","","pending",""
"BM-009","Vợt cầu lông Victor Auraspeed 90K II","","","","pending",""
"BM-010","Cầu lông lông vũ Yonex Aerosensa 30","","","","pending",""
"BM-011","Cầu lông nhựa Yonex Mavis 350","","","","pending",""
"BM-012","Cầu lông lông vũ Victor Master Ace","","","","pending",""
"BM-013","Cầu lông lông vũ Li-Ning No.1","","","","pending",""
"BM-014","Giày cầu lông Yonex Power Cushion 65 Z3","","","","pending",""
"BM-015","Giày cầu lông Yonex Aerus Z2","","","","pending",""
