"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"BB-007","Bóng rổ Wilson NBA DRV Pro","","","","pending",""
"BB-008","Bóng rổ Wilson NBA Forge Plus","","","","pending",""
"BB-009","Giày bóng rổ Nike Giannis Immortality 4","","","","pending",""
"BB-010","Giày bóng rổ Nike LeBron Witness 8","","","","pending",""
"BB-011","Giày bóng rổ adidas Own The Game 3.0","","","","pending",""
"BB-012","Giày bóng rổ adidas Dame Certified 3","","","","pending",""
"BB-013","Giày bóng rổ PUMA Court Pro","","","","pending",""
"BB-014","Giày bóng rổ Under Armour Curry 3Z 24","","","","pending",""
"BB-015","Bóng rổ Jordan Playground 2.0 8P","","","","pending",""
"BB-016","Bóng rổ Nike Everyday Playground 8P 2.0","","","","pending",""
