"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"FB-001","Giày bóng đá cỏ nhân tạo Nike","","","","pending",""
"FB-003","Áo đấu CLB Manchester City 2024","","","","pending",""
"BB-002","Bóng rổ Spalding NBA","","","","pending",""
"BM-001","Vợt cầu lông Yonex Astrox","","","","pending",""
"VB-001","Bóng chuyền hơi Động Lực","","","","pending",""
"TT-001","Vợt bóng bàn 7 lớp gỗ","","","","pending",""
"FB-007","Giày bóng đá Nike Tiempo Legend 10 Academy TF","","","","pending",""
"FB-008","Giày bóng đá Nike Mercurial Vapor 16 Academy TF","","","","pending",""
"FB-009","Giày bóng đá Nike Phantom GX 2 Academy TF","","","","pending",""
"FB-010","Giày bóng đá adidas Predator League Turf","","","","pending",""
