"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"FB-021","Quần tập bóng đá adidas Tiro 24 Training Pants","","","","pending",""
"FB-022","Quần tập bóng đá Puma teamLIGA Training Pants","","","","pending",""
"FB-023","Balo bóng đá Nike Academy Team Backpack","","","","pending",""
"FB-024","Túi trống bóng đá adidas Tiro League Duffel Bag Medium","","","","pending",""
"FB-025","Ống đồng bóng đá Nike Guard Lock Elite","","","","pending",""
"FB-026","Găng tay thủ môn adidas Predator Training","","","","pending",""
"TT-007","Vợt bóng bàn Butterfly Timo Boll CF 1000","","","","pending",""
"TT-008","Vợt bóng bàn Butterfly Timo Boll CF 2000","","","","pending",""
"TT-009","Vợt bóng bàn Butterfly Addoy 2000","","","","pending",""
"TT-010","Vợt bóng bàn Butterfly Wakaba 3000","","","","pending",""
