"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"FB-011","Giày bóng đá adidas F50 League Turf","","","","pending",""
"FB-012","Giày bóng đá adidas Copa Pure 3 League Turf","","","","pending",""
"FB-013","Giày bóng đá Puma Future 7 Play TT","","","","pending",""
"FB-014","Giày bóng đá Puma Ultra 5 Play TT","","","","pending",""
"FB-015","Giày bóng đá Mizuno Monarcida Neo III Select AS","","","","pending",""
"FB-016","Bóng đá Select Numero 10","","","","pending",""
"FB-017","Áo tập bóng đá Nike Dri-FIT Academy 23","","","","pending",""
"FB-018","Áo tập bóng đá adidas Tiro 24 Training Jersey","","","","pending",""
"FB-019","Áo bóng đá Puma teamLIGA Jersey","","","","pending",""
"FB-020","Áo khoác bóng đá Nike Dri-FIT Academy 23 Drill Top","","","","pending",""
