"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"TT-021","Mặt vợt bóng bàn Xiom Vega X","","","","pending",""
"TT-022","Bóng bóng bàn Nittaku Premium 40+ 3-Star","","","","pending",""
"TT-023","Bóng bóng bàn DHS DJ40+ WTT","","","","pending",""
"TT-024","Bóng bóng bàn Butterfly R40+ 3-Star","","","","pending",""
"TT-025","Bộ lưới bóng bàn JOOLA Essentials Table Tennis Net Set","","","","pending",""
"TT-026","Keo dán mặt vợt Butterfly Free Chack II","","","","pending",""
"VB-002","Bóng chuyền Mikasa V200W","","","","pending",""
"VB-003","Bóng chuyền Mikasa V330W","","","","pending",""
"VB-004","Bóng chuyền Molten V5M5000 FLISTATEC","","","","pending",""
"VB-005","Bóng chuyền Molten V5M4000","","","","pending",""
